n_satellites,time_cost,energy_cost
1,8.666666666666668,107.89411766702308
2,10.333333333333334,117.89411766702308
3,12.0,127.89411766702308
4,13.666666666666668,137.89411766702307
5,15.333333333333334,147.89411766702307
6,17.0,157.89411766702307
7,18.666666666666664,167.89411766702307
8,20.333333333333332,177.89411766702307
9,22.0,187.89411766702307
10,23.666666666666668,197.89411766702307
