n_satellites,time_cost,energy_cost
1,8.666666666666668,107.89411766702308
2,11.416666666666668,135.46911766702308
3,14.166666666666664,163.04411766702304
4,16.916666666666668,190.6191176670231
5,19.666666666666664,218.19411766702308
6,22.41666666666667,245.76911766702315
7,25.16666666666667,273.34411766702317
8,27.916666666666668,300.9191176670231
9,30.666666666666664,328.4941176670231
10,33.416666666666664,356.0691176670231
